Name,IP,K/9,BB/9,HR/9,BABIP,GB%,HR/FB,GB/FB,ERA,xERA,ERA-,SIERA,FIP,xFIP,FIP-,xFIP-,WAR,AVG,WHIP,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,K%,BB%,playerid
Trevor Bauer,107.2,11.45,3.09,1.59,0.22,33.50%,16.00%,0.71,2.59,3.41,65,3.49,4.03,3.7,96,87,1.7,0.181,1,1.22,31.40%,65.10%,45.20%,55.10%,83.80%,72.00%,40.90%,60.00%,12.60%,31.70%,8.60%,12703
Kyle Finnegan,58.2,9.2,4.3,0.92,0.289,46.60%,10.00%,1.25,2.61,3.12,61,4.19,3.88,4.37,90,103,0.6,0.231,1.36,-0.43,32.70%,66.70%,48.20%,64.50%,84.60%,77.20%,45.70%,64.80%,11.00%,23.70%,11.10%,15009
Tyler Clippard,17,7.94,2.65,1.06,0.217,23.90%,7.10%,0.39,2.65,4.95,63,4.53,4.16,5.56,99,132,0.1,0.19,1,0.85,26.80%,77.30%,47.60%,66.70%,81.20%,76.40%,41.20%,52.90%,11.20%,21.40%,7.10%,5640
Kevin Gausman,170,10.64,2.54,0.79,0.263,43.30%,9.80%,1.2,2.65,3.36,66,3.46,2.86,3.32,70,78,4.5,0.197,1.01,2.4,34.50%,71.90%,51.40%,54.60%,80.70%,71.00%,45.00%,62.80%,14.90%,29.40%,7.00%,14107
Devin Williams,51,14.12,4.76,0.88,0.304,45.30%,12.80%,1.23,2.65,3,63,3.05,3.01,3.09,71,73,1.1,0.193,1.24,2.36,33.70%,65.90%,45.90%,49.00%,70.20%,60.60%,38.00%,57.40%,18.10%,37.00%,12.50%,15816
Anthony Bender,54.1,11.1,2.98,0.83,0.264,49.20%,13.90%,1.72,2.65,2.93,67,3.02,3.22,3.2,78,75,0.8,0.192,1.01,0.15,28.10%,56.10%,40.40%,42.80%,86.60%,69.60%,44.10%,60.40%,12.30%,30.90%,8.30%,19742
Tyler Glasnow,88,12.58,2.76,1.02,0.25,45.30%,14.30%,1.23,2.66,2.89,64,2.92,2.76,2.7,67,64,2.6,0.176,0.93,2.04,32.60%,68.10%,48.80%,36.40%,80.90%,64.80%,45.90%,62.40%,17.20%,36.20%,7.90%,14374
Zack Littell,54,8,3.5,0.83,0.216,49.60%,9.40%,1.32,2.67,3.7,66,4.16,3.87,4.41,96,104,0.2,0.182,1.04,1.3,32.40%,78.60%,52.00%,61.20%,81.90%,74.50%,42.40%,61.90%,13.30%,22.30%,9.80%,15823
Louis Head,30.1,8.01,2.67,0.59,0.231,28.80%,4.00%,0.46,2.67,3.02,64,4.37,3.43,5.5,83,128,0.3,0.187,0.96,0.26,31.80%,75.40%,50.20%,55.70%,85.00%,74.30%,42.30%,58.80%,12.90%,22.70%,7.60%,13259
Freddy Peralta,127,12.19,3.83,0.85,0.22,34.10%,9.60%,0.74,2.69,2.71,64,3.5,3.15,3.67,74,87,3.4,0.156,0.98,2.28,28.50%,67.20%,44.80%,53.00%,77.90%,68.70%,42.00%,60.40%,14.00%,33.70%,10.60%,18679
