Name,IP,K/9,BB/9,HR/9,BABIP,GB%,HR/FB,GB/FB,ERA,xERA,ERA-,SIERA,FIP,xFIP,FIP-,xFIP-,WAR,AVG,WHIP,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,K%,BB%,playerid
Tyler Duffey,54.1,8.28,4.64,0.66,0.29,46.90%,8.70%,1.5,3.64,3.91,83,4.51,3.88,4.43,91,103,0.4,0.231,1.36,1.72,28.90%,65.60%,43.40%,64.80%,89.30%,79.50%,39.40%,61.00%,8.90%,21.90%,12.30%,13758
Tim Hill,54.1,8.94,3.81,1.16,0.266,62.10%,17.90%,2.31,3.64,3.75,90,3.77,4.4,4,105,94,0,0.221,1.25,-0.12,30.50%,64.20%,46.90%,70.30%,83.00%,78.70%,48.70%,62.50%,10.00%,23.30%,9.90%,16814
Jose Cisnero,61.2,9.05,4.52,0.88,0.278,45.70%,10.90%,1.36,3.65,4.2,82,4.3,4.12,4.44,94,104,0.7,0.222,1.33,1.08,25.60%,68.90%,44.60%,75.20%,80.80%,79.00%,44.00%,52.50%,9.40%,23.40%,11.70%,6399
Josh Rogers,12.1,4.38,2.92,1.46,0.256,35.00%,10.00%,0.7,3.65,5.08,86,5.93,5.27,6.05,123,144,0.1,0.255,1.3,0.34,35.70%,76.10%,52.70%,80.00%,85.20%,83.10%,42.00%,62.70%,8.90%,11.80%,7.80%,18510
Miguel Castro,61.2,10.36,5.4,1.02,0.267,53.20%,15.20%,1.8,3.65,4.32,92,4.19,4.38,4.23,106,100,0,0.206,1.36,0.27,30.30%,60.10%,42.00%,57.50%,80.50%,70.40%,39.20%,53.00%,12.40%,26.30%,13.70%,15684
Justin Garza,24.2,8.76,5.11,1.46,0.25,37.30%,16.00%,1,3.65,6.68,82,4.67,5.03,4.72,117,110,-0.1,0.217,1.38,-0.22,24.60%,66.30%,42.00%,71.70%,81.90%,78.40%,41.80%,60.40%,9.10%,22.60%,13.20%,19784
Caleb Thielbar,56.2,11.44,2.86,1.27,0.304,29.70%,11.10%,0.57,3.65,4.05,83,3.21,3.52,3.94,82,92,0.7,0.228,1.18,1.5,31.60%,68.60%,48.80%,65.70%,80.60%,75.40%,46.50%,57.00%,12.00%,30.60%,7.70%,10078
Casey Mize,140.1,6.93,2.57,1.48,0.249,49.40%,16.90%,1.49,3.66,5.05,83,4.5,4.84,4.44,111,104,1.2,0.231,1.14,1.31,28.90%,66.60%,45.10%,67.40%,86.50%,79.50%,42.90%,62.20%,9.20%,18.90%,7.00%,20492
Will Smith,59,10.98,3.51,1.37,0.268,29.90%,12.50%,0.61,3.66,3.33,87,3.52,4.13,4.32,99,102,0.5,0.21,1.17,1.63,34.40%,66.90%,47.10%,53.10%,83.10%,69.70%,39.10%,63.60%,14.30%,29.10%,9.30%,8048
Mason Thompson,19.2,8.24,5.49,1.37,0.339,52.40%,16.70%,1.83,3.66,5.12,87,4.8,5.15,4.79,120,113,0,0.289,1.83,-0.96,27.00%,63.60%,41.30%,66.70%,90.20%,80.90%,39.20%,51.60%,7.90%,18.90%,12.60%,21850
Zack Greinke,159.2,6.2,1.8,1.41,0.266,43.50%,15.40%,1.33,3.66,4.23,88,4.56,4.46,4.23,106,99,1.6,0.248,1.15,1.05,32.70%,67.60%,46.10%,67.40%,90.20%,80.10%,38.20%,66.10%,9.10%,17.00%,5.00%,1943
Kwang-hyun Kim,100.2,6.97,3.13,1.07,0.27,46.40%,11.70%,1.37,3.67,4.53,91,4.76,4.32,4.6,104,109,1.3,0.238,1.26,0.49,29.30%,65.20%,43.40%,67.90%,87.10%,79.20%,39.40%,60.70%,9.00%,18.40%,8.20%,27458
Noe Ramirez,27,7,3.67,1,0.197,31.60%,7.30%,0.61,3.67,3.38,87,4.92,4.61,5.87,109,139,0.2,0.18,1.07,0.1,31.40%,66.90%,45.70%,69.10%,84.60%,78.30%,40.40%,59.60%,9.90%,18.40%,9.60%,12800
Ryne Stanek,61.1,11.3,4.84,1.17,0.235,33.60%,12.10%,0.73,3.67,4.17,88,3.84,4.21,4.43,100,103,0.3,0.181,1.19,0.79,30.40%,71.70%,47.30%,57.60%,80.10%,71.50%,40.90%,57.50%,13.50%,29.70%,12.70%,15947
Edgar Santana,41.2,7.13,2.59,1.51,0.244,49.60%,18.40%,1.61,3.67,4.11,87,4.05,4.63,4.07,111,96,0,0.226,1.15,0,31.50%,70.60%,49.30%,55.90%,84.40%,74.50%,45.60%,60.80%,12.60%,19.30%,7.00%,17355
A.J. Alexy,14.2,8.59,5.52,1.23,0.125,21.20%,9.50%,0.33,3.68,4.14,85,5.48,5.07,5.85,120,136,0.2,0.125,1.02,0.63,23.70%,75.50%,44.00%,58.30%,82.40%,74.50%,39.20%,56.90%,11.20%,24.10%,15.50%,22343
Michael King,51.1,8.59,3.68,0.88,0.295,47.70%,11.10%,1.58,3.68,4.85,85,4.28,4.1,4.39,93,102,0.5,0.24,1.34,0.1,30.60%,66.20%,46.70%,70.50%,83.40%,78.80%,45.10%,63.40%,9.90%,21.60%,9.30%,19853
Sam Coonrod,36.2,10.55,3.19,1.23,0.287,56.60%,17.90%,2,3.68,3.64,88,3.27,3.9,3.49,89,82,0.3,0.225,1.23,-0.76,32.30%,68.00%,48.30%,68.90%,80.70%,76.30%,44.80%,62.00%,11.40%,27.20%,8.20%,17264
Jeurys Familia,53.2,10.9,4.19,1.51,0.311,52.50%,24.30%,2,3.69,3.62,94,3.57,4.43,3.48,107,82,0,0.244,1.42,-0.1,31.50%,66.00%,46.80%,52.20%,87.30%,74.10%,44.30%,59.70%,12.10%,27.50%,10.60%,5114
Lucas Giolito,158.1,10.23,2.67,1.42,0.271,33.10%,14.60%,0.78,3.69,3.36,86,3.7,3.87,3.74,89,87,3.3,0.219,1.11,1.17,32.80%,72.30%,50.30%,54.10%,78.00%,69.40%,44.50%,60.30%,15.40%,28.20%,7.40%,15474
Aroldis Chapman,48.2,15.35,6.66,1.48,0.302,41.30%,23.50%,1.12,3.7,4.41,85,3.53,4.23,3.34,96,78,0.3,0.192,1.44,1.04,26.70%,66.60%,43.80%,43.00%,73.30%,62.70%,42.70%,58.10%,16.30%,38.60%,16.70%,10233
Jordan Montgomery,138.1,8.91,2.99,0.98,0.296,43.50%,10.60%,1.21,3.71,4.11,85,4.18,3.63,4.04,83,94,3.1,0.239,1.25,0.09,35.50%,71.10%,50.20%,61.30%,81.20%,72.90%,41.10%,66.80%,13.60%,23.70%,7.90%,16511
Codi Heuer,60.2,7.86,2.52,0.89,0.298,43.10%,10.30%,1.29,3.71,3.97,87,3.93,3.64,4.06,85,95,1,0.248,1.22,2.28,36.90%,73.30%,52.10%,55.20%,86.10%,73.30%,41.70%,59.80%,13.90%,21.30%,6.80%,23293
Chris Stratton,70.1,9.47,3.84,1.02,0.296,40.60%,10.80%,1.05,3.71,3.83,90,3.98,3.86,4.25,92,101,0.5,0.235,1.32,0.49,31.50%,69.80%,46.80%,53.30%,87.70%,73.80%,39.80%,61.20%,12.30%,24.70%,10.00%,13761
Robert Gsellman,26.2,5.06,2.36,1.01,0.262,50.60%,13.00%,1.87,3.71,4.82,94,4.55,4.4,4.47,106,106,0,0.245,1.2,0.15,32.00%,72.70%,49.40%,69.00%,87.50%,80.60%,42.60%,61.80%,9.60%,13.60%,6.40%,13696
Tyler Mahle,159.1,10.62,3.16,1.3,0.288,41.00%,14.60%,1.06,3.73,3.8,87,3.78,3.92,3.8,90,90,3,0.225,1.21,1.53,29.60%,67.70%,45.20%,62.10%,81.30%,73.80%,40.80%,64.50%,11.80%,28.10%,8.40%,16358
Chris Flexen,156.2,6.15,1.95,0.92,0.302,43.60%,8.90%,1.21,3.73,4.41,89,4.7,3.85,4.57,91,107,2.8,0.267,1.26,0.82,32.40%,71.40%,49.00%,72.60%,89.40%,83.10%,42.70%,62.80%,8.30%,16.50%,5.20%,13896
Joe Mantiply,33.2,8.29,4.01,0.27,0.362,44.10%,3.30%,1.5,3.74,4.32,89,4.37,3.13,4.33,74,102,0.5,0.285,1.6,-0.87,36.10%,59.50%,46.10%,64.30%,81.90%,74.00%,42.80%,62.70%,12.00%,20.30%,9.80%,14857
Mitch White,45.2,9.46,3.35,1.18,0.26,48.40%,14.00%,1.44,3.74,3.7,94,3.86,3.89,3.85,93,91,0.5,0.215,1.2,-0.91,31.20%,69.90%,48.80%,64.80%,87.00%,79.30%,45.50%,59.30%,10.10%,24.70%,8.80%,19225
Archie Bradley,45.2,6.9,4.34,0.99,0.299,56.00%,13.20%,2.08,3.74,4.23,90,4.61,4.63,4.69,106,111,0.1,0.26,1.49,-0.24,31.20%,69.80%,46.70%,77.30%,89.60%,84.70%,40.10%,63.70%,7.20%,17.40%,10.90%,12918
Justin Dunn,50.1,8.76,5.19,1.07,0.238,33.80%,8.70%,0.67,3.75,5.02,90,5.18,4.73,5.62,112,131,0.5,0.2,1.31,0.26,31.40%,66.20%,46.70%,66.70%,87.00%,79.30%,43.90%,55.50%,9.70%,22.50%,13.30%,19268
Tony Watson,50.1,6.97,2.86,0.54,0.225,50.00%,6.80%,1.57,3.75,3.21,88,4.14,3.34,4.12,78,97,0.7,0.189,0.99,1.47,35.90%,65.60%,47.60%,66.30%,82.70%,75.10%,39.30%,60.20%,11.80%,19.90%,8.20%,3132
Robert Stephenson,38.1,10.1,3.99,1.17,0.314,36.80%,11.90%,0.93,3.76,4.29,79,3.92,4.02,4.28,90,101,0.3,0.247,1.41,0,31.60%,64.60%,45.90%,61.00%,82.30%,74.00%,43.50%,56.00%,11.90%,25.60%,10.10%,13594
John Gant,103,7.69,5.85,0.79,0.262,47.80%,10.80%,1.66,3.76,5.12,91,5.44,4.69,4.99,113,118,0.6,0.219,1.47,0.67,26.10%,67.90%,42.30%,63.60%,86.10%,77.60%,38.80%,52.30%,9.50%,19.30%,14.70%,13684
Aaron Civale,105.1,7.26,2.22,1.45,0.256,45.00%,15.60%,1.25,3.76,4.59,84,4.35,4.47,4.22,104,98,1.1,0.233,1.11,1.08,33.60%,69.20%,47.70%,68.60%,89.00%,80.30%,39.50%,65.50%,9.40%,20.20%,6.20%,19479
Jose Alvarado,47.2,11.52,7.74,0.76,0.308,55.00%,16.00%,2.44,3.78,4.17,91,4.8,4.53,4.37,104,103,-0.1,0.215,1.64,0.25,24.60%,58.00%,38.40%,45.10%,85.00%,70.00%,41.20%,50.70%,11.50%,28.10%,18.90%,17780
David Price,69,7.3,3,0.91,0.302,51.60%,10.80%,1.71,3.78,3.89,95,4.39,4.03,4.39,97,104,0.7,0.258,1.36,0.77,28.50%,70.00%,48.60%,76.10%,83.90%,81.50%,48.40%,68.50%,9.00%,18.50%,7.60%,3184
Michael Kopech,57,13.26,3.47,1.26,0.301,38.30%,14.50%,0.89,3.79,2.91,88,2.88,3.25,3.14,75,74,1.2,0.209,1.18,0.62,29.90%,66.00%,46.40%,60.50%,75.10%,70.00%,45.80%,61.80%,13.90%,35.30%,9.20%,17282
Adam Ottavino,57,10.26,5.05,0.32,0.315,42.10%,3.60%,1.11,3.79,3.43,84,4.21,3.29,4.55,78,106,1.1,0.225,1.4,2.41,26.00%,60.60%,40.00%,59.30%,83.70%,74.30%,40.60%,54.00%,10.30%,26.00%,12.80%,1247
Sean Manaea,156.2,10,2.13,1.32,0.311,41.50%,14.70%,1.15,3.79,4,91,3.62,3.67,3.54,88,83,2.8,0.248,1.21,0.2,31.90%,71.00%,50.90%,63.10%,81.70%,75.70%,48.60%,66.30%,12.40%,26.60%,5.60%,15873
Sonny Gray,120.2,10.52,3.13,1.19,0.282,47.50%,15.70%,1.46,3.8,3.12,89,3.72,3.77,3.55,86,84,2.3,0.221,1.19,0.47,29.40%,63.20%,43.00%,56.90%,87.50%,74.90%,40.10%,58.20%,10.80%,27.80%,8.30%,12768
Yimi Garcia,49.2,9.24,2.72,1.27,0.275,38.20%,13.50%,1,3.81,4.32,95,3.65,3.91,3.94,95,93,0.3,0.228,1.17,-0.57,30.50%,71.80%,50.30%,65.40%,78.40%,74.30%,48.00%,58.00%,12.90%,24.90%,7.30%,12095
Matt Barnes,49.2,14.13,3.08,1.27,0.309,45.00%,16.30%,1.05,3.81,2.6,84,2.35,3,2.71,71,64,1.4,0.201,1.07,0.04,36.10%,64.20%,47.90%,48.80%,82.50%,67.80%,42.00%,69.20%,15.40%,39.40%,8.60%,12863
Edwin Diaz,56.2,13.02,3.65,0.48,0.331,34.70%,6.10%,0.86,3.81,2.84,97,2.92,2.54,3.4,61,80,1.8,0.209,1.16,0.77,35.40%,71.20%,50.20%,50.50%,80.10%,67.80%,41.20%,60.60%,16.10%,34.70%,9.70%,14710
Alex Cobb,77.2,9.73,3.01,0.35,0.327,53.80%,6.50%,2.48,3.82,3.89,89,3.66,2.62,3.17,61,74,2.3,0.242,1.26,0.12,35.30%,61.40%,44.80%,64.60%,83.30%,73.90%,36.30%,60.20%,11.70%,25.70%,8.00%,6562
Conner Menez,14,9.64,1.93,1.29,0.333,59.10%,28.60%,3.71,3.86,3.62,96,2.8,3.52,2.55,87,60,0.2,0.271,1.36,0.52,38.80%,68.10%,52.20%,71.20%,85.70%,79.80%,45.70%,59.70%,10.50%,24.20%,4.80%,19199
Mike Wright Jr.,11.2,4.63,3.09,0.77,0.257,47.20%,8.30%,1.42,3.86,4.92,90,5.09,4.28,4.99,98,116,0,0.238,1.2,-0.07,29.00%,71.40%,47.50%,62.10%,92.70%,82.10%,43.50%,54.30%,8.50%,13.00%,8.70%,12586
Jhoulys Chacin,56,6.43,3.86,1.13,0.224,48.50%,14.30%,1.63,3.86,4,81,4.75,4.64,4.58,104,108,0.1,0.207,1.2,2.07,27.90%,69.90%,45.20%,67.80%,87.90%,80.60%,41.10%,53.00%,8.80%,17.20%,10.30%,2608
Tyler Wells,53.2,10.73,1.84,1.51,0.22,21.40%,12.50%,0.39,3.86,3.43,89,3.12,3.63,3.84,82,90,0.8,0.184,0.88,-0.33,39.70%,74.40%,55.10%,67.40%,80.10%,75.00%,44.40%,67.30%,13.80%,30.80%,5.30%,20000
Brusdar Graterol,28,7.71,3.21,0.64,0.298,58.30%,12.50%,3.06,3.86,3.43,97,3.8,3.88,3.97,93,94,0.2,0.245,1.32,0.53,34.00%,66.20%,51.20%,64.70%,92.70%,84.00%,53.30%,63.70%,8.20%,19.40%,8.10%,20367
Matt Wisler,46.2,11.57,1.93,1.16,0.309,25.90%,10.70%,0.54,3.86,2.69,95,2.83,2.97,3.43,73,81,1,0.227,1.07,-0.2,30.00%,60.50%,43.80%,52.80%,77.90%,68.50%,45.30%,65.80%,13.80%,32.10%,5.30%,12804
Steven Matz,135,8.53,2.53,1.07,0.319,46.60%,12.20%,1.45,3.87,4,87,4.13,3.78,3.97,93,93,2.2,0.263,1.33,0.49,28.10%,66.90%,46.30%,64.00%,87.50%,79.90%,47.00%,58.30%,9.30%,22.00%,6.50%,13361
Michael Pineda,93,7.65,1.74,1.45,0.292,40.80%,13.50%,1.05,3.87,4.82,88,4.22,4.17,4.2,97,98,1.2,0.258,1.22,0.41,36.20%,69.90%,50.50%,63.40%,89.60%,78.80%,42.50%,68.20%,10.70%,20.40%,4.70%,5372
Rich Hill,144,8.19,2.94,1.25,0.27,36.50%,12.30%,0.88,3.88,4.44,95,4.44,4.44,4.65,107,109,1.4,0.231,1.18,-0.26,28.90%,64.30%,45.30%,66.00%,85.30%,78.70%,46.50%,62.40%,9.70%,22.00%,7.90%,4806
Wandy Peralta,44,6.95,3.68,1.23,0.292,56.30%,18.80%,2.38,3.89,4.11,91,4.26,4.62,4.14,106,97,0,0.259,1.41,0.19,40.40%,68.30%,50.10%,58.20%,81.30%,69.10%,34.80%,65.40%,15.50%,18.10%,9.60%,14295
Matthew Boyd,78.2,7.67,2.63,1.03,0.294,38.40%,9.30%,0.94,3.89,4.2,88,4.56,4.09,4.8,94,112,1.5,0.251,1.27,-0.28,35.70%,68.90%,50.70%,72.30%,83.60%,79.30%,45.20%,71.80%,10.50%,19.90%,6.80%,15440
Humberto Castellanos,30,6.3,3.3,1.2,0.25,44.80%,12.10%,1.18,3.9,4.35,92,4.97,4.8,5.02,114,119,0.1,0.23,1.23,-0.37,24.40%,66.50%,44.40%,76.20%,91.60%,87.20%,47.50%,51.60%,5.70%,16.70%,8.70%,21183
Trevor May,55.1,11.71,3.58,1.46,0.306,36.90%,13.20%,0.76,3.9,3,99,3.33,3.87,3.94,93,93,0.4,0.233,1.3,0.3,33.80%,72.70%,50.80%,54.80%,79.90%,70.50%,43.60%,57.80%,15.00%,30.40%,9.30%,6398
Miguel Sanchez,23,8.22,4.7,1.17,0.299,40.60%,14.30%,1.33,3.91,5.02,94,4.66,4.73,4.66,112,110,-0.1,0.253,1.52,-0.21,37.30%,78.50%,52.50%,60.00%,81.20%,71.70%,36.90%,60.60%,14.90%,20.20%,11.50%,20074
Genesis Cabrera,62,10.16,4.65,0.44,0.304,41.40%,5.00%,1.08,3.92,3.56,97,4.08,3.32,4.42,80,105,1,0.221,1.34,-0.78,29.00%,70.40%,46.70%,62.80%,84.80%,77.00%,42.90%,51.90%,10.80%,26.10%,11.90%,17490
Lucas Gilbreath,34.1,9.17,4.98,1.05,0.247,44.10%,11.80%,1.21,3.93,3.56,82,4.47,4.3,4.55,96,108,0.2,0.203,1.31,0.77,25.60%,71.40%,44.70%,55.70%,78.30%,70.70%,41.60%,51.00%,13.10%,23.80%,12.90%,21290
German Marquez,167,9,3.02,1.02,0.284,51.20%,15.30%,1.87,3.93,3.83,83,3.96,3.7,3.54,83,84,3.5,0.23,1.2,1.35,29.50%,68.70%,47.10%,49.60%,86.00%,73.40%,44.70%,59.10%,12.50%,24.20%,8.10%,15038
Alex Colome,57,7.89,3.47,1.26,0.281,53.70%,15.40%,1.83,3.95,4.88,90,4.13,4.55,4.35,106,101,-0.1,0.245,1.37,-1.34,34.60%,73.60%,48.80%,60.10%,85.30%,73.90%,36.40%,53.50%,12.70%,19.70%,8.70%,6661
Brad Hand,56.2,8.26,3.49,1.43,0.265,41.00%,14.30%,1.05,3.97,5.08,93,4.25,4.82,4.74,114,112,-0.2,0.231,1.27,-2.18,26.00%,62.80%,42.50%,72.40%,87.20%,82.20%,45.00%,63.80%,7.60%,21.40%,9.10%,9111
Taylor Hearn,90.1,8.27,3.39,1.69,0.254,40.40%,16.30%,0.97,3.99,4.53,92,4.34,5,4.6,118,107,-0.2,0.229,1.24,0.29,27.00%,68.00%,46.50%,69.20%,84.10%,79.60%,47.50%,61.80%,9.50%,22.00%,9.00%,18325
Zach Pop,47.1,8.18,3.8,0.57,0.289,57.50%,8.80%,2.26,3.99,4.14,101,4.04,3.88,4.34,95,103,0.2,0.232,1.31,-1,34.40%,64.50%,45.60%,64.00%,87.10%,76.20%,37.20%,51.40%,10.90%,20.70%,9.60%,20185
Jordan Holloway,36,9,6.5,0.75,0.215,40.60%,7.90%,1.03,4,4.08,101,5.27,4.41,5.21,108,123,0.1,0.174,1.36,-0.61,24.80%,62.60%,40.40%,57.70%,84.20%,74.60%,41.10%,57.00%,10.20%,22.80%,16.50%,20631
Corey Kluber,65,9.97,4.15,1.11,0.29,41.70%,12.30%,1.08,4.02,4.26,92,4.31,4.12,4.3,94,100,1,0.227,1.31,0.21,33.10%,66.30%,46.20%,54.60%,86.10%,72.40%,39.40%,63.40%,12.70%,26.10%,10.90%,2429
James Kaprielian,105.1,9.23,3.42,1.45,0.278,35.90%,12.60%,0.77,4.02,4.56,96,4.35,4.46,4.65,107,108,1,0.234,1.27,0.27,29.30%,69.20%,45.30%,64.30%,83.20%,75.80%,39.90%,59.00%,10.90%,24.20%,9.00%,18331
Marco Gonzales,118.1,6.69,2.59,1.9,0.254,31.70%,15.10%,0.69,4.03,5.43,96,4.96,5.39,5.14,127,120,0.4,0.246,1.23,0.15,31.80%,70.80%,47.90%,71.60%,87.00%,81.00%,41.20%,61.80%,9.10%,18.00%,7.00%,15467
Cole Irvin,158.1,6.2,1.93,0.97,0.302,36.80%,8.60%,0.97,4.04,4.88,97,4.83,4,4.82,96,112,2.3,0.269,1.29,-0.81,34.80%,73.60%,52.00%,77.80%,86.30%,83.20%,44.50%,66.60%,8.80%,16.10%,5.00%,19244
Vladimir Gutierrez,104.1,7.07,3.28,1.55,0.266,42.90%,13.80%,1.02,4.05,4.23,95,4.91,5.04,5.02,116,119,0.7,0.244,1.3,0.44,29.00%,68.70%,46.00%,66.30%,85.60%,78.60%,42.80%,62.30%,9.80%,18.50%,8.60%,19278
Tylor Megill,77.2,10.2,2.32,1.74,0.293,41.80%,17.00%,0.99,4.06,3.43,103,3.63,4.26,3.76,103,89,0.9,0.243,1.2,-0.02,31.60%,72.20%,49.90%,61.70%,81.70%,74.70%,45.10%,70.00%,12.60%,27.20%,6.20%,21318
Josh Sborz,51,10.41,5.29,1.24,0.278,43.20%,14.30%,1.16,4.06,4.05,93,4.24,4.4,4.32,104,101,0,0.219,1.41,-0.58,33.70%,71.10%,48.00%,49.00%,83.90%,68.80%,38.30%,58.10%,15.00%,26.60%,13.50%,18323
Clay Holmes,59.2,9.8,3.92,0.6,0.284,69.40%,14.30%,3.89,4.07,2.95,98,3.26,3.36,3.33,80,79,0.8,0.214,1.24,0.24,24.80%,60.70%,41.10%,52.70%,85.00%,74.40%,45.40%,61.40%,10.50%,25.60%,10.20%,13649
Andrew Wantz,17.2,14.26,3.57,1.53,0.27,20.50%,13.00%,0.35,4.08,3.49,94,2.9,3.9,4.01,90,94,0.2,0.191,1.13,0.08,29.40%,70.10%,47.70%,61.50%,75.20%,70.60%,44.90%,69.20%,14.00%,35.90%,9.00%,24933
Alex Wood,125.2,9.67,2.79,1,0.306,51.00%,14.60%,1.82,4.08,4,101,3.76,3.7,3.62,92,85,1.9,0.241,1.23,-0.16,31.80%,65.30%,46.70%,58.50%,82.50%,73.40%,44.50%,64.20%,12.40%,25.30%,7.30%,13781
Johnny Cueto,112.1,7.61,2.32,1.2,0.324,38.30%,12.40%,1.07,4.09,4.95,101,4.45,4.09,4.27,101,101,1.5,0.278,1.36,-0.71,31.40%,74.90%,49.50%,72.20%,85.10%,80.40%,41.60%,64.90%,9.70%,19.80%,6.10%,6893
Tyler Alexander,83.2,7.64,2.26,1.51,0.286,37.20%,12.20%,0.84,4.09,4.66,92,4.33,4.5,4.77,103,111,0.7,0.255,1.27,0.28,35.40%,68.90%,49.80%,78.80%,88.40%,84.50%,42.80%,67.50%,7.70%,19.90%,5.90%,17735
Jimmy Herget,11,9,2.45,0.82,0.345,44.80%,11.10%,1.44,4.09,3.46,94,3.57,3.71,3.98,87,93,0,0.268,1.27,0.14,27.50%,60.30%,42.10%,48.00%,84.10%,71.00%,44.50%,56.50%,12.20%,23.90%,6.50%,17556
Aaron Bummer,48.1,12.66,5.21,0.56,0.321,73.00%,18.80%,5.25,4.1,2.86,96,3.11,3.02,2.8,70,66,1,0.213,1.39,-0.81,27.80%,62.70%,41.80%,41.80%,84.90%,67.70%,40.00%,58.20%,13.50%,31.90%,13.10%,16258
Antonio Senzatela,138,6.07,1.89,0.72,0.313,51.90%,9.30%,1.96,4.11,4.44,86,4.42,3.68,4.16,82,98,3,0.274,1.3,0.19,26.10%,71.10%,46.80%,65.30%,88.80%,81.70%,46.10%,64.00%,8.60%,15.90%,4.90%,15488
Touki Toussaint,46,8.41,3.72,1.76,0.244,48.40%,21.40%,1.43,4.11,5.22,97,4.53,5.47,4.55,131,108,0,0.222,1.24,-0.28,26.20%,62.70%,41.60%,54.90%,88.30%,76.10%,42.10%,58.70%,9.90%,21.90%,9.70%,16929
Hyun-Jin Ryu,157.2,7.48,1.94,1.14,0.289,46.90%,12.80%,1.43,4.11,4.32,92,4.17,3.82,3.93,94,92,2.3,0.25,1.19,1.16,34.60%,64.80%,47.10%,72.70%,85.10%,79.70%,41.40%,64.10%,9.60%,20.30%,5.30%,14444
Bailey Ober,83,9.43,1.84,1.84,0.306,33.50%,16.30%,0.75,4.12,4.38,94,3.78,4.38,3.95,102,92,1,0.26,1.22,0.19,35.00%,69.20%,49.50%,63.50%,87.10%,77.50%,42.50%,66.30%,11.10%,25.50%,5.00%,21224
Elieser Hernandez,37,9,1.7,2.19,0.265,39.30%,20.90%,0.98,4.14,4.29,105,3.88,5.14,4.04,126,96,0.1,0.243,1.16,-0.09,33.90%,71.80%,52.80%,61.60%,86.60%,78.60%,49.90%,65.80%,11.30%,23.40%,4.40%,16933
James Karinchak,54.1,12.75,5.3,1.49,0.232,40.00%,19.10%,1.02,4.14,3.67,93,3.6,4.36,3.75,102,88,0.2,0.177,1.23,2.4,28.30%,64.40%,43.20%,60.90%,76.70%,70.60%,41.20%,55.60%,12.70%,33.20%,13.80%,20151
Joe Ross,108,9.08,2.83,1.42,0.277,43.20%,15.50%,1.19,4.17,4.26,98,4.1,4.36,4.12,102,97,1.4,0.234,1.22,-0.32,30.90%,64.00%,45.80%,65.30%,82.50%,76.10%,45.10%,64.30%,10.90%,23.70%,7.40%,12972
A.J. Minter,45.1,10.32,3.97,0.4,0.306,43.80%,4.50%,1.2,4.17,3.07,99,3.78,2.83,3.99,67,94,1.1,0.223,1.3,-0.91,32.30%,65.90%,47.40%,51.10%,81.00%,69.80%,45.00%,63.30%,14.30%,26.50%,10.20%,18655
Chris Martin,36.2,6.63,1.47,0.74,0.336,49.20%,8.30%,1.61,4.17,4.29,99,3.9,3.49,4.17,83,99,0.4,0.288,1.31,-0.95,31.40%,77.00%,54.80%,63.20%,87.90%,81.00%,51.20%,73.50%,10.40%,17.40%,3.90%,11847
Kyle Muller,36.2,9.08,4.91,0.49,0.255,37.60%,5.00%,0.88,4.17,3.94,99,4.85,3.65,4.89,87,116,0.7,0.195,1.25,0.2,30.10%,67.20%,44.80%,54.50%,81.70%,70.60%,39.60%,48.40%,13.10%,23.90%,12.90%,20167
Zach Eflin,105.2,8.43,1.36,1.28,0.327,43.50%,14.20%,1.32,4.17,3.94,100,3.81,3.67,3.61,84,85,2.2,0.274,1.25,-0.04,33.40%,69.90%,49.40%,68.60%,85.90%,79.30%,43.80%,66.10%,10.20%,22.40%,3.60%,13774
Paolo Espino,97,7.7,1.95,1.48,0.284,35.40%,12.60%,0.81,4.18,4.98,98,4.27,4.28,4.46,100,106,1.2,0.252,1.21,0.3,32.00%,63.50%,46.00%,68.30%,88.40%,80.60%,44.40%,61.80%,8.90%,20.60%,5.20%,8246
Brett Anderson,88.1,5.71,2.65,0.92,0.294,59.50%,16.70%,3.13,4.18,5.58,100,4.35,4.17,3.93,99,93,1,0.265,1.34,-0.17,28.10%,63.50%,40.80%,71.20%,93.40%,83.60%,35.90%,56.50%,6.70%,14.90%,6.90%,8223
Jon Gray,131.1,9.11,3.7,1.03,0.294,49.50%,12.50%,1.51,4.18,3.8,88,4.31,3.99,4.13,90,98,2.4,0.238,1.32,0.56,25.70%,68.40%,45.00%,53.40%,85.40%,75.50%,45.40%,62.70%,11.10%,23.50%,9.60%,14916
Ashton Goudeau,23.2,5.7,4.94,0.76,0.206,52.20%,9.50%,1.67,4.18,4.14,91,5.37,4.77,5.25,109,124,0,0.188,1.23,-0.07,30.50%,73.20%,46.90%,68.50%,92.70%,83.00%,38.40%,55.60%,8.00%,15.20%,13.10%,15139
Trevor Williams,77.1,8.73,3.26,1.16,0.338,45.70%,13.50%,1.43,4.19,4.29,102,4.31,4.11,4.13,98,98,0.9,0.278,1.49,-0.34,32.30%,67.50%,47.70%,66.90%,87.00%,79.40%,43.80%,68.00%,9.90%,21.80%,8.10%,16977
